country,airports
UNITED STATES,13513
BRAZIL,4093
MEXICO,1714
CANADA,1467
RUSSIA,1218
ARGENTINA,1138
BOLIVIA,855
COLOMBIA,836
PARAGUAY,799
INDONESIA,673
SOUTH AFRICA,566
PAPUA NEW GUINEA,561
GERMANY,539
CHINA,507
CHILE,481
AUSTRALIA,480
FRANCE,464
UNITED KINGDOM,460
VENEZUELA,444
ECUADOR,432
INDIA,346
IRAN,319
GUATEMALA,291
PHILIPPINES,247
SWEDEN,231
SAUDI ARABIA,214
"CONGO, DEMOCRATIC REPUBLIC OF THE",198
KENYA,197
ZIMBABWE,196
PERU,191
UKRAINE,187
ANGOLA,176
JAPAN,175
TANZANIA,166
COSTA RICA,161
ALGERIA,157
PAKISTAN,151
SPAIN,150
FINLAND,148
NICARAGUA,147
LIBYA,146
URUGUAY,133
CUBA,133
OMAN,132
ITALY,129
CZECHIA,128
POLAND,126
NEW ZEALAND,123
PANAMA,117
GUYANA,117
MALAYSIA,114
NAMIBIA,112
"KOREA, SOUTH",111
HONDURAS,103
IRAQ,102
THAILAND,101
MOZAMBIQUE,98
TURKEY,98
KAZAKHSTAN,96
ICELAND,96
NORWAY,95
SYRIA,90
ZAMBIA,88
SOUTH SUDAN,85
MADAGASCAR,83
EGYPT,83
"KOREA, NORTH",82
DENMARK,80
GREECE,77
BOTSWANA,74
SUDAN,74
CROATIA,69
BULGARIA,68
EL SALVADOR,68
BELARUS,65
BURMA,64
PORTUGAL,64
SWITZERLAND,63
LITHUANIA,61
"BAHAMAS, THE",61
SOMALIA,61
CHAD,59
ETHIOPIA,57
YEMEN,57
SURINAME,55
MOROCCO,55
FRENCH POLYNESIA,54
NIGERIA,54
UZBEKISTAN,53
AUSTRIA,52
AFGHANISTAN,52
BELIZE,47
UGANDA,47
ISRAEL,47
NEPAL,47
ROMANIA,45
VIETNAM,45
MONGOLIA,44
GABON,44
UNITED ARAB EMIRATES,43
LATVIA,42
BELGIUM,41
LAOS,41
HUNGARY,41
IRELAND,40
CENTRAL AFRICAN REPUBLIC,39
TAIWAN,37
AZERBAIJAN,37
SOLOMON ISLANDS,36
DOMINICAN REPUBLIC,36
SLOVAKIA,35
CAMEROON,33
MALAWI,32
VANUATU,31
NIGER,30
MAURITANIA,30
LIBERIA,29
TUNISIA,29
PUERTO RICO,29
NETHERLANDS,29
FIJI,28
KYRGYZSTAN,28
JAMAICA,28
COTE D'IVOIRE,27
"CONGO, REPUBLIC OF THE",27
TURKMENISTAN,26
SERBIA,26
NEW CALEDONIA,25
MALI,25
BOSNIA AND HERZEGOVINA,24
TAJIKISTAN,24
LESOTHO,24
BURKINA FASO,23
ANTARCTICA,23
GEORGIA,22
SENEGAL,20
SRI LANKA,19
KIRIBATI,19
BANGLADESH,18
JORDAN,18
ESTONIA,18
CAMBODIA,16
SLOVENIA,16
GUINEA,16
CYPRUS,15
MARSHALL ISLANDS,15
GREENLAND,15
HAITI,14
SWAZILAND,14
SEYCHELLES,14
ERITREA,13
DJIBOUTI,13
COOK ISLANDS,11
ARMENIA,11
MACEDONIA,10
GHANA,10
CABO VERDE,9
SINGAPORE,9
MALDIVES,9
GUINEA-BISSAU,8
LEBANON,8
TURKS AND CAICOS ISLANDS,8
TOGO,8
SIERRA LEONE,8
BURUNDI,7
EQUATORIAL GUINEA,7
RWANDA,7
KUWAIT,7
MOLDOVA,7
FALKLAND ISLANDS (ISLAS MALVINAS),7
BENIN,6
KOSOVO,6
"MICRONESIA, FEDERATED STATES OF",6
WESTERN SAHARA,6
SAINT VINCENT AND THE GRENADINES,6
TIMOR-LESTE,6
TONGA,6
QATAR,6
GUAM,5
NORTHERN MARIANA ISLANDS,5
MONTENEGRO,5
MAURITIUS,5
ALBANIA,4
BAHRAIN,4
BRITISH VIRGIN ISLANDS,4
COMOROS,4
TRINIDAD AND TOBAGO,4
SAMOA,4
SPRATLY ISLANDS,4
SVALBARD,4
FRENCH SOUTHERN AND ANTARCTIC LANDS,4
AMERICAN SAMOA,3
ANTIGUA AND BARBUDA,3
PALAU,3
GRENADA,3
CAYMAN ISLANDS,3
ANGUILLA,2
BHUTAN,2
DOMINICA,2
GUERNSEY,2
HONG KONG,2
LUXEMBOURG,2
WEST BANK,2
SAINT LUCIA,2
SAINT PIERRE AND MIQUELON,2
SAO TOME AND PRINCIPE,2
VIRGIN ISLANDS,2
WALLIS AND FUTUNA,2
SAINT KITTS AND NEVIS,2
ARUBA,1
WAKE ISLAND,1
BERMUDA,1
BRITISH INDIAN OCEAN TERRITORY,1
BRUNEI,1
CHRISTMAS ISLAND,1
COCOS (KEELING) ISLANDS,1
FAROE ISLANDS,1
"GAMBIA, THE",1
GAZA STRIP,1
GIBRALTAR,1
ISLE OF MAN,1
JAN MAYEN,1
JERSEY,1
MACAU,1
MALTA,1
MONTSERRAT,1
NAURU,1
NIUE,1
NORFOLK ISLAND,1
PARACEL ISLANDS,1
SAINT BARTHELEMY,1
"SAINT HELENA, ASCENSION, AND TRISTAN DA CUNHA",1
SAINT MARTIN,1
SINT MAARTEN,1
TUVALU,1
BARBADOS,1
